"Activity Type","Transaction Ref ID",Customer/CFA,"Customer/CFA ID","Customer/CFA external ID","Customer/CFA Name","Customer Address",City,"customer subtype",planned(Yes/No),"Customer/CFA Latitude","Customer/CFA Longitude","Visit Date","Visit Time","User BR ID","User Name","User Emp Role ID","user role",reportsToBRID,reportsToName,partner_name,partner_external_id,Purpose,Details,starting_km_reading,ending_km_reading,latitude,longitude,"Activity Address","Distance Away from Customer (in meters)","Synced On"
Tourvisit,16145486,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,20:07:30,276069,"Kishor Rajdhar Patil",3732336,"Sales Rep",263845,"Ananta Mankar_dhule",,,"End of the day","Sitare ",,,21.3902342,74.4051072,"9CR4+32H, Hol, Hol T. Ranale, Maharashtra 425411, India",NA,"30 Jan 2026 09:15:25 AM"
Workflow,34162647,Customer,17181289,0002021077,"2021077 - NATIONAL FERTILIZER CENTRE","Ground Floor 112 Leek Wala Talab Batala Gurdaspur, AMRITSAR, Gurdaspur, Punjab, India, 143505",AMRITSAR,DISTRIBUTOR,No,,,2026-01-29,18:16:22,238141,"kapil Tyagi_Amritsar",A75,"Territory Manager",238136,"Sandeep Kumar_BHATINDA",A123-Ludhiana,A123,"Payment Tagging Information","Payment Tagging Information",,,,,,NA,"30 Jan 2026 09:08:55 AM"
Workflow,34171204,Customer,16319252,0002020711,"2020711 - MODERN KHETI CENTRE","Shop No 6 Opposite Chitra Talkis. Chitra Talkies R, AMRITSAR, Amritsar, Punjab, India, 143001",AMRITSAR,DISTRIBUTOR,No,,,2026-01-29,18:15:41,238141,"kapil Tyagi_Amritsar",A75,"Territory Manager",238136,"Sandeep Kumar_BHATINDA",A123-Ludhiana,A123,"Payment Tagging Information","Payment Tagging Information",,,,,,NA,"30 Jan 2026 09:08:54 AM"
"Start Day",3123235,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,10:54:05,263705,"Jaskaranpreet singh",3752514,"Sales Rep",238151,"Yatendera Rana_BARNALA",,,"Day Started","Day Started",,,30.2128222340647,75.7758668249426,,NA,"30 Jan 2026 09:04:53 AM"
Tourvisit,16145392,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,10:54:15,263705,"Jaskaranpreet singh",3752514,"Sales Rep",238151,"Yatendera Rana_BARNALA",,,"Beginning of the day","start of the day ",,,30.2128222340647,75.7758668249426,,NA,"30 Jan 2026 09:04:43 AM"
"End Day",3110181,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,21:36:57,270266,"Vivek M",3785350,"Sales Rep",239791,Vetrivel.G_ERODE,,,"Day Ended","Day Ended",,,11.3934484,76.7176098,,NA,"30 Jan 2026 08:43:40 AM"
Workflow,34200291,Customer,12795317,"-- --",Pali_SUMERPUR,street,"-- --","Farmer Group",No,,,2026-01-29,19:00:17,238420,"Ramakant Baghel",2949856,"Sales Rep",238107,"Jagat pal_Sumerpur",A201-JAIPUR,A201,"Organised Farmer Meeting","Organised Farmer Meeting",,,25.7578184,73.3211771,"Q85C+4F6, Goshala Rd, Keshav Nagar, Pali, Rajasthan 306401, India",NA,"30 Jan 2026 08:36:49 AM"
"End Day",3108806,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,17:49:29,241153,"Nayan Sharma",2617926,"Sales Rep",241110,"Rajib Dey_Dibrugarh",,,"Day Ended","Day Ended",,,27.3719263,95.8960099,,NA,"30 Jan 2026 08:26:51 AM"
"End Day",3108612,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,22:28:34,239470,"Firoj shaikh",2617903,"Sales Rep",239454,"Samdhan devkatte _Osmanabad",,,"Day Ended","Day Ended",,,17.6683361,75.9055231,,NA,"30 Jan 2026 08:16:35 AM"
"End Day",3108599,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,19:27:02,261793,"HARINDER SINGH",,"Sales Rep",238147,"Shelendra kumar_MUKTSAR",,,"Day Ended","Day Ended",,,30.2795119,74.4817187,,NA,"30 Jan 2026 08:02:05 AM"
"End Day",3107848,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,20:10:12,245321,"Shekhar Saini_Sumerpur",3363417,"Sales Rep",238107,"Jagat pal_Sumerpur",,,"Day Ended","Day Ended",,,27.1673989,77.2988777,,NA,"30 Jan 2026 07:48:50 AM"
"End Day",3107989,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,23:21:32,280598,"Talasila Venkata Sai Krishna",,"Sales Rep",240515,"KARRI VINAY KUMAR SO_tenali",,,"Day Ended","Day Ended",,,16.2312179,80.6449952,,NA,"30 Jan 2026 07:20:24 AM"
"End Day",3108852,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,20:08:50,279565,"TUMMETI SRIKANTH",3909092,"Sales Rep",240509,"Bareddy Venkateswarlu _Guntur",,,"Day Ended","Day Ended",,,16.3215627,80.4070345,,NA,"30 Jan 2026 07:18:30 AM"
"End Day",3110014,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,22:06:44,246093,"Arunkumar Ambleppanavar_Hirekerur",3375986,"Sales Rep",237867,"vinayaka shidenur_davengere",,,"Day Ended","Day Ended",,,14.4244942,75.398541,,NA,"30 Jan 2026 07:18:28 AM"
"End Day",3109057,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,21:20:26,279299,SINEKA.K,,"Sales Rep",239803,"Sowenderrajan L _Tirunelveli",,,"Day Ended","Day Ended",,,8.9111362,77.3797061,,NA,"30 Jan 2026 07:15:17 AM"
"End Day",3119694,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,22:00:31,269603,"UPPARA SURESH",3778426,"Sales Rep",240520,"C.MADANNA _YEMMIGANUR",,,"Day Ended","Day Ended",,,,,,NA,"30 Jan 2026 05:16:46 AM"
"End Day",3119683,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,21:54:53,263293,"DOBARIYA KEYUSH KISHORBHAI",3740114,"Sales Rep",239263,"mahek amreliya_Rajkot",,,"Day Ended","Day Ended",,,,,,NA,"30 Jan 2026 05:16:46 AM"
"End Day",3119652,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,21:35:52,268410,"Pawan Patidar",3766187,"Sales Rep",242399,"VISHAL R_RATLAM",,,"Day Ended","Day Ended",,,23.4786633,75.1455009,,NA,"30 Jan 2026 05:16:46 AM"
"End Day",3119601,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,22:15:19,281863,NAKUMUMANG,,"Sales Rep",239267,"Ashishkumar B. Bhanderi _Jamnagar",,,"Day Ended","Day Ended",,,21.9610538,69.8105336,,NA,"30 Jan 2026 05:16:45 AM"
"End Day",3119591,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,20:58:05,281862,"PRASHANS DILIPBHAI KARABNGIYA",,"Sales Rep",239267,"Ashishkumar B. Bhanderi _Jamnagar",,,"Day Ended","Day Ended",,,21.9610462,69.8105175,,NA,"30 Jan 2026 05:16:45 AM"
"End Day",3119581,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,20:45:29,242407,"Naveen Bopache_CHHINDWARA",D72,"Territory Manager",242326,"JAY SINGH SISODIYA_JABALPUR",,,"Day Ended","Day Ended",,,22.0956545,79.5895637,,NA,"30 Jan 2026 05:16:45 AM"
"End Day",3119524,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,20:07:29,276069,"Kishor Rajdhar Patil",3732336,"Sales Rep",263845,"Ananta Mankar_dhule",,,"Day Ended","Day Ended",,,21.3902342,74.4051072,,NA,"30 Jan 2026 05:16:45 AM"
"End Day",3119395,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,19:17:28,238114,"Digvijay Singh-East UP",,"Sales Manager",239601,"Vasundhara_AMM UP ",,,"Day Ended","Day Ended",,,26.7717031,80.9877719,,NA,"30 Jan 2026 05:16:44 AM"
"End Day",3119387,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,19:14:07,253772,"Thigulla Vinod",3560944,"Sales Rep",240480,"Karru Shiroj Kumar_Badrachalam",,,"Day Ended","Day Ended",,,18.0779419,80.8247952,,NA,"30 Jan 2026 05:16:44 AM"
"End Day",3119385,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,20:45:09,242416,"BIDHU KALYANKAR_BHUBANESHWAR",702430,"Sales Manager",241248,"Suman Dutta",,,"Day Ended","Day Ended",,,20.2199706,85.8485925,,NA,"30 Jan 2026 05:16:44 AM"
"End Day",3119329,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,18:46:29,240666,"Bera Sharath Chandra Kiran",,"Sales Manager",240660,"Pothireddy Narasimha reddy - Hyderabad",,,"Day Ended","Day Ended",,,19.6627154,78.5324922,,NA,"30 Jan 2026 05:16:43 AM"
"End Day",3119277,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,18:39:23,242409,"DEBADATTA SAMAL_BARGARH",A40,"Territory Manager",242327,Vacant_BARGARH,,,"Day Ended","Day Ended",,,21.3451545,83.6277328,,NA,"30 Jan 2026 05:16:43 AM"
"End Day",3119213,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,19:28:00,242445,"MANAS RANJAN JENA",2570476,"Sales Rep",242330,"Vacant BIDHU KALYANKAR_BHUBNESHWAR",,,"Day Ended","Day Ended",,,20.1312802,85.9704464,,NA,"30 Jan 2026 05:16:42 AM"
"End Day",3119201,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,18:05:03,276072,"Swapnil Khade",2617865,"Sales Rep",238969,"Vacant Po _Mukutban",,,"Day Ended","Day Ended",,,20.1024876,78.8074229,,NA,"30 Jan 2026 05:16:42 AM"
"End Day",3119198,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,18:03:19,240512,"Atla Siva Krishnareddy_Macherla",C09,"Territory Manager",240508,"Murali G _guntur",,,"Day Ended","Day Ended",,,,,,NA,"30 Jan 2026 05:16:42 AM"
"End Day",3119113,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,17:44:28,240480,"Karru Shiroj Kumar_Badrachalam",B30,"Territory Manager",240476,"U chandrasekhar_warangal",,,"Day Ended","Day Ended",,,18.2753146,79.7658304,,NA,"30 Jan 2026 05:16:41 AM"
"End Day",3119112,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,18:45:04,238171,"ANIL KUMAR _Fatehabad",B33,"Territory Manager",238159,Mohit_TL,,,"Day Ended","Day Ended",,,29.4931455,75.5367286,,NA,"30 Jan 2026 05:16:41 AM"
"End Day",3119092,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,18:05:12,241115,"SANDIP CHOWDHURY_Guwahati",708831,"Sales Manager",241196,"SAPTARSI CHAKRABORTY_AMM",,,"Day Ended","Day Ended",,,26.354418,92.69675,,NA,"30 Jan 2026 05:16:41 AM"
"End Day",3119050,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,17:25:58,238148,"ZIAUL HAQUE _MANSA",A94,"Territory Manager",239596,"Vacant TL_Punjab",,,"Day Ended","Day Ended",,,,,,NA,"30 Jan 2026 05:16:41 AM"
"End Day",3119034,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,17:19:49,239174,"Sachin Pandav_Parbhani",C75,"Territory Manager",263562,"Purushottam Ghatode_Marathwada",,,"Day Ended","Day Ended",,,19.25756,76.7804124,,NA,"30 Jan 2026 05:16:41 AM"
"End Day",3119030,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,17:45:19,239442,"Mangesh Bhosale_Pandharpur",A22,"Territory Manager",239426,"Vijay Babar_TL Sangli",,,"Day Ended","Day Ended",,,16.0352999,73.484752,,NA,"30 Jan 2026 05:16:40 AM"
"End Day",3119014,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,18:04:23,242396,"CHANDRAPAL SHEKHAWAT_INDORE",D69,"Territory Manager",242323,"SHAILENDRA SOLANKHI_INDORE",,,"Day Ended","Day Ended",,,22.9619624,76.0463943,,NA,"30 Jan 2026 05:16:40 AM"
"End Day",3118998,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,17:07:22,241097,"Krishna Kumar_Muzaffarpur",D26,"Territory Manager",241093,"Amit Kumar_Patna",,,"Day Ended","Day Ended",,,26.3071643,85.2678187,,NA,"30 Jan 2026 05:16:40 AM"
"End Day",3118974,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,17:01:30,271122,"Ajay Patel",3786447,"Sales Rep",238127,"Rohit Gaur_Agra",,,"Day Ended","Day Ended",,,,,,NA,"30 Jan 2026 05:16:40 AM"
"End Day",3118957,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,21:59:36,238127,"Rohit Gaur_Agra",A55,"Territory Manager",238113,"vacant-TL-Western UP",,,"Day Ended","Day Ended",,,27.2373126,79.2539879,,NA,"30 Jan 2026 05:16:40 AM"
"End Day",3118953,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,16:57:28,241161,"Akbar Ali",3170941,"Sales Rep",241116,"Mithun Roy_Kharupetia",,,"Day Ended","Day Ended",,,26.523586,92.1522029,,NA,"30 Jan 2026 05:16:40 AM"
"End Day",3118940,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,17:32:22,238149,"Vinod Kumar Chaubey_PATIALA",A92,"Territory Manager",238136,"Sandeep Kumar_BHATINDA",,,"Day Ended","Day Ended",,,,,,NA,"30 Jan 2026 05:16:40 AM"
"End Day",3118902,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,20:57:05,239807,"JEEVA RAMALINGAM_SALEM",8104244,"Sales Manager",239760,"Vacant AMM_SWR1 (TN, KL)",,,"Day Ended","Day Ended",,,10.6782819000,77.2168981000,,NA,"30 Jan 2026 05:16:40 AM"
"End Day",3118791,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,16:40:50,243965,"Mohit Suryawanshi",3325119,"Sales Rep",242407,"Naveen Bopache_CHHINDWARA",,,"Day Ended","Day Ended",,,,,,NA,"30 Jan 2026 05:16:39 AM"
"End Day",3118608,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,15:56:44,241135,"Md Kaif Ahamed",3145497,"Sales Rep",245026,"Sabuj Maiti_Barasat",,,"Day Ended","Day Ended",,,22.5143243,88.613556,,NA,"30 Jan 2026 05:16:37 AM"
"End Day",3118587,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,16:40:31,282500,"Saif _ABOHAR",,"Sales Manager",239596,"Vacant TL_Punjab",,,"Day Ended","Day Ended",,,30.3744188,74.0489865,,NA,"30 Jan 2026 05:16:37 AM"
"End Day",3118459,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,16:50:40,241198,"MD HAFIJUR RAHAMAN_MALDA",K1,"Territory Manager",241109,"Mohit Kumar Saha_Corporate Tea",,,"Day Ended","Day Ended",,,24.8611079,88.0198981,,NA,"30 Jan 2026 05:16:36 AM"
"End Day",3118435,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,17:26:41,263438,"Manish Verma_jhansi",B59,"Territory Manager",238114,"Digvijay Singh-East UP",,,"Day Ended","Day Ended",,,25.5742052,78.8179008,,NA,"30 Jan 2026 05:16:36 AM"
"End Day",3118330,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,15:23:59,271703,"Dharmendra Malviya",,"Sales Manager",242328,"ADITYA KUMAR_RAIPUR",,,"Day Ended","Day Ended",,,,,,NA,"30 Jan 2026 05:16:35 AM"
"End Day",3118163,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,16:32:10,241109,"Mohit Kumar Saha_Corporate Tea",G103680,"Sales Manager",241196,"SAPTARSI CHAKRABORTY_AMM",,,"Day Ended","Day Ended",,,26.2573944000,88.1919329000,,NA,"30 Jan 2026 05:16:34 AM"
"End Day",3118156,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,15:14:40,270281,"Rajkumar Babruwan Mane",3785917,"Sales Rep",239454,"Samdhan devkatte _Osmanabad",,,"Day Ended","Day Ended",,,18.0092073,76.0710171,,NA,"30 Jan 2026 05:16:34 AM"
"End Day",3118124,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,20:01:05,241101,"Susovan Ghosh_West Medinipur",B19,"Territory Manager",241098,"Sumit Sarkar_South Bengal",,,"Day Ended","Day Ended",,,22.4104957,87.7115863,,NA,"30 Jan 2026 05:16:34 AM"
"End Day",3118104,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,18:30:20,238967,"sandip phopase_Yavatmal",,"Sales Manager",239170,"Nilesh kankewar_Marathwada",,,"Day Ended","Day Ended",,,,,,NA,"30 Jan 2026 05:16:34 AM"
"End Day",3117915,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,14:37:51,238138,"ATUL KUMAR PANDEY_KHANNA",A61,"Territory Manager",238136,"Sandeep Kumar_BHATINDA",,,"Day Ended","Day Ended",,,30.8967248,76.2519451,,NA,"30 Jan 2026 05:16:32 AM"
"End Day",3117809,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,14:30:05,238095,"Arun Kumar Pathak (RJ)",,"Sales Manager",241682,"Rajat Sharma_AMM_North2",,,"Day Ended","Day Ended",,,26.9093449,75.7271413,,NA,"30 Jan 2026 05:16:32 AM"
"End Day",3117782,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,14:27:49,242402,"AMIT TIWARI_DHAR",D56,"Territory Manager",242324,"Javed Khan Nimar_KHARGONE",,,"Day Ended","Day Ended",,,22.6638289,75.4403537,,NA,"30 Jan 2026 05:16:31 AM"
"End Day",3117709,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,15:24:55,242399,"VISHAL R_RATLAM",D73,"Territory Manager",242323,"SHAILENDRA SOLANKHI_INDORE",,,"Day Ended","Day Ended",,,23.3365791,75.051508,,NA,"30 Jan 2026 05:16:31 AM"
"End Day",3117432,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,14:03:51,251859,"Diwakar Sharma_",3441255,"Sales Rep",242406,"Sonu Dhakad_JABALPUR",,,"Day Ended","Day Ended",,,23.2076672,79.9117066,,NA,"30 Jan 2026 05:16:29 AM"
"End Day",3117400,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,22:49:06,238121,"Jai Prakash mishra_Faizabad",B51,"Territory Manager",238114,"Digvijay Singh-East UP",,,"Day Ended","Day Ended",,,26.5960787,82.0856082,,NA,"30 Jan 2026 05:16:29 AM"
"End Day",3117397,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,14:01:44,271928,"MENIYA JAYDEEP THAKARSHIBHAI	",3797489,"Sales Rep",239263,"mahek amreliya_Rajkot",,,"Day Ended","Day Ended",,,22.090157,71.045275,,NA,"30 Jan 2026 05:16:29 AM"
"End Day",3117099,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,13:48:54,241199,"GAUTAM  CHAUDHURI_ISLAMPUR",D15,"Territory Manager",241109,"Mohit Kumar Saha_Corporate Tea",,,"Day Ended","Day Ended",,,26.2574488,88.1919736,,NA,"30 Jan 2026 05:16:27 AM"
"End Day",3117079,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,19:43:20,238163,"Mukesh lohani_AMBALA",A12,"Territory Manager",238247,"Vacant TL-Krishan Kumar Pathak",,,"Day Ended","Day Ended",,,29.9702939,76.8567281,,NA,"30 Jan 2026 05:16:26 AM"
"End Day",3116811,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,13:39:39,242404,"Pankaj Singh Bisht_SHIVPURI",B27,"Territory Manager",242325,"Gaurav Kandpal_BHOPAL",,,"Day Ended","Day Ended",,,26.5970868,77.9402087,,NA,"30 Jan 2026 05:16:25 AM"
"End Day",3116122,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,23:38:07,241098,"Sumit Sarkar_South Bengal",G104308,"Sales Manager",241248,"Suman Dutta",,,"Day Ended","Day Ended",,,,,,NA,"30 Jan 2026 05:16:20 AM"
"End Day",3115875,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,13:11:05,238962,"Kunal Gawande _Nagpur",A24,"Territory Manager",238961,"Akshay Yeware _Vidarbha",,,"Day Ended","Day Ended",,,21.1795717,78.9864017,,NA,"30 Jan 2026 05:16:18 AM"
"End Day",3115702,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,17:47:11,231722,"Pushpa B P_MYSORE",D8,"Territory Manager",231716,"HariHara MurthyN-BANGALOR",,,"Day Ended","Day Ended",,,12.3211011,76.6092825,,NA,"30 Jan 2026 05:16:17 AM"
"End Day",3115308,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,19:55:41,239812,"Vinu Kumar S _Pallakad",B05,"Territory Manager",239800,"MUTHUMANI K-TRICHY",,,"Day Ended","Day Ended",,,10.7743639849309,76.6821532991587,,NA,"30 Jan 2026 05:16:15 AM"
"End Day",3115214,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,13:45:04,241103,"Pritam Dey_Hooghly",D03,"Territory Manager",241098,"Sumit Sarkar_South Bengal",,,"Day Ended","Day Ended",,,23.0090276,87.5964882,,NA,"30 Jan 2026 05:16:14 AM"
"End Day",3115040,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,19:57:52,250600,"Nitin Singh_Moosanagar",3454089,"Sales Rep",238125,"Raghvendra Singh_KANPUR",,,"Day Ended","Day Ended",,,26.4484837,80.2795902,,NA,"30 Jan 2026 05:16:13 AM"
"End Day",3114975,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,18:46:17,241197,"Masud Rijwan_BERHAMPORE",D18,"Territory Manager",241098,"Sumit Sarkar_South Bengal",,,"Day Ended","Day Ended",,,23.9031603,88.4576778,,NA,"30 Jan 2026 05:16:13 AM"
